datum;events
28.02.2020;4
29.02.2020;13
01.03.2020;4
02.03.2020;7
03.03.2020;6
04.03.2020;4
05.03.2020;6
06.03.2020;3
07.03.2020;6
08.03.2020;3
09.03.2020;14
10.03.2020;4
11.03.2020;24
12.03.2020;53
13.03.2020;52
14.03.2020;59
15.03.2020;76
16.03.2020;85
17.03.2020;78
18.03.2020;101
19.03.2020;88
20.03.2020;97
21.03.2020;92
22.03.2020;74
23.03.2020;97
24.03.2020;104
25.03.2020;147
26.03.2020;130
27.03.2020;131
28.03.2020;128
29.03.2020;105
30.03.2020;114
31.03.2020;116
01.04.2020;115
02.04.2020;103
03.04.2020;84
04.04.2020;104
05.04.2020;103
06.04.2020;89
07.04.2020;109
08.04.2020;91
09.04.2020;82
10.04.2020;87
11.04.2020;102
12.04.2020;87
13.04.2020;53
14.04.2020;83
15.04.2020;89
16.04.2020;82
17.04.2020;77
18.04.2020;52
19.04.2020;80
20.04.2020;113
21.04.2020;94
22.04.2020;94
23.04.2020;61
24.04.2020;75
25.04.2020;63
26.04.2020;52
27.04.2020;102
28.04.2020;91
29.04.2020;62
30.04.2020;81
01.05.2020;43
02.05.2020;50
03.05.2020;43
04.05.2020;62
05.05.2020;62
